,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
RRS1,1.24775326984752e-40,0.487559155903581,0.841,0.456,2.44709371282495e-36,0,RRS1
DCTPP1,3.14978384236496e-38,0.358562044950707,0.995,0.744,6.17735607164617e-34,0,DCTPP1
HMOX2,7.35695626166218e-37,0.432494305933619,0.97,0.702,1.44284626203719e-32,0,HMOX2
EBNA1BP2,3.66263271559206e-36,0.36065319094776,0.997,0.741,7.18315528181914e-32,0,EBNA1BP2
TOMM40,9.34802277514608e-36,0.397867309841142,0.954,0.632,1.83333422666165e-31,0,TOMM40
NUDT16L1,2.00073177646946e-35,0.553302042332538,0.898,0.582,3.92383516001191e-31,0,NUDT16L1
RPN2,2.70742137225253e-35,0.398955424273843,0.992,0.76,5.30979479526167e-31,0,RPN2
ATP6AP2,3.92197246624491e-35,0.535997108782706,0.978,0.726,7.69177240079953e-31,0,ATP6AP2
NOP58,4.30456927812488e-35,0.506615542343487,0.962,0.677,8.44212126825851e-31,0,NOP58
CNPY2,4.78072738125955e-35,0.479117606843957,0.995,0.77,9.37596254012623e-31,0,CNPY2
PNP,1.56473445465961e-34,0.651766174756292,0.919,0.639,3.06875721247843e-30,0,PNP
EXOSC4,2.59313511681935e-34,0.526233986920911,0.949,0.705,5.08565659110612e-30,0,EXOSC4
GPATCH4,2.6092658302108e-34,0.267742470264188,0.96,0.676,5.11729214620941e-30,0,GPATCH4
ATP6V0E2,2.9189891182968e-34,0.71816185088403,0.949,0.659,5.72472145880369e-30,0,ATP6V0E2
PAK1IP1,3.22834408502994e-34,0.472577078969136,0.962,0.67,6.33142841956073e-30,0,PAK1IP1
NFASC,6.86424677625663e-34,0.839558016678184,0.906,0.586,1.34621607775945e-29,0,NFASC
ZNF593,8.83691128113643e-34,0.449251343889768,0.987,0.744,1.73309504045648e-29,0,ZNF593
ADORA1,1.8121311340369e-33,0.581946136404313,0.873,0.567,3.55395158007316e-29,0,ADORA1
DCAF13,3.50910219012122e-33,0.360160498958877,0.984,0.698,6.88205121526574e-29,0,DCAF13
NDUFC2,1.44567494387032e-32,0.340978924792561,0.992,0.822,2.83525769991846e-28,0,NDUFC2
HACD3,1.75081795156298e-32,0.588164011690185,0.973,0.686,3.43370416660531e-28,0,HACD3
TRPS1,1.79053235382676e-32,0.642199319003137,0.981,0.733,3.51159205232503e-28,0,TRPS1
PDIA3,2.005762011317e-32,0.420806435349436,0.992,0.773,3.93370045659489e-28,0,PDIA3
KCNN4,2.57817087141084e-32,0.549027220114498,0.965,0.704,5.05630871301095e-28,0,KCNN4
NR2C2AP,4.04831954654226e-32,0.621396035473528,0.857,0.558,7.93956429467868e-28,0,NR2C2AP
EIF6,6.14718281130725e-32,0.407459024033618,0.995,0.786,1.20558549295358e-27,0,EIF6
ARHGEF9,6.86321697441511e-32,0.689750790632288,0.914,0.606,1.34601411302229e-27,0,ARHGEF9
NFIA,1.47819142467849e-31,0.716492553101935,0.889,0.593,2.89902902207946e-27,0,NFIA
SDAD1,3.79475441757935e-31,0.59164831353109,0.9,0.596,7.44227236375662e-27,0,SDAD1
NDUFAF4,4.50895980292831e-31,0.460138633978096,0.916,0.626,8.842971965503e-27,0,NDUFAF4
KNOP1,4.71308939628755e-31,0.401080244945036,0.973,0.7,9.24331092399915e-27,0,KNOP1
NOP16,6.81343086221664e-31,0.600179987892399,0.819,0.499,1.33625006069793e-26,0,NOP16
FOXI1,1.16895930588858e-30,0.30830494485138,0.968,0.684,2.29256299070868e-26,0,FOXI1
SNX17,1.81574040777446e-30,0.651363986433757,0.938,0.657,3.56103008772727e-26,0,SNX17
PPIB,2.62877396117824e-30,0.383891494114835,0.997,0.825,5.15555149266276e-26,0,PPIB
IMP3,3.54562410367518e-30,0.265316319133615,0.962,0.687,6.95367799212776e-26,0,IMP3
DANCR,4.22707372425721e-30,0.459478006646618,0.997,0.808,8.29013698801324e-26,0,DANCR
RAB5IF,8.61614818498792e-30,0.272705717783451,1,0.819,1.68979898203983e-25,0,RAB5IF
E2F1,1.34684417623513e-29,0.590394725099834,0.825,0.521,2.64143079843233e-25,0,E2F1
NIFK,1.40019830100028e-29,0.399667531946211,0.968,0.735,2.74606890792175e-25,0,NIFK
NES,1.90526466171503e-29,0.317245264715639,0.987,0.774,3.73660505455552e-25,0,NES
REEP5,2.00302394573739e-29,0.383401804586861,0.989,0.758,3.92833056238018e-25,0,REEP5
AKR1C2,2.15743378420667e-29,0.599125559750076,0.787,0.462,4.23115913758612e-25,0,AKR1C2
TXLNG,3.49675474875516e-29,0.364935615973487,0.946,0.679,6.85783541325861e-25,0,TXLNG
TOP1,4.25214498738807e-29,0.26360226851954,0.992,0.791,8.33930674926547e-25,0,TOP1
C20orf27,4.46081495443039e-29,0.379395564081041,0.984,0.724,8.74855028862888e-25,0,C20orf27
ADI1,4.61843973741558e-29,0.253080175552914,0.992,0.738,9.05768401301943e-25,0,ADI1
MTX1,8.89016961349928e-29,0.340108999040511,1,0.783,1.74354006459948e-24,0,MTX1
MAGEF1,1.28673441683234e-28,0.41699388842793,0.922,0.655,2.52354353829159e-24,0,MAGEF1
EPCAM,1.60823239959596e-28,0.289978882523011,0.997,0.846,3.15406538208759e-24,0,EPCAM
